"iso3c","nutrient","total_supply_all","total_supply_OA_all","relative_supply_all","supply_diff_all"
"ISR","Iron",78.002040560054,74.7928601102378,1.0429075776095,3.20918044981622
"ISR","Vitamin A",1883.2361993988,1805.75560081313,1.0429075776095,77.4805985856713
"ISR","Vitamin B12",103.806153883666,99.5353338227778,1.0429075776095,4.27082006088791
"ISR","Zinc",25.0693783921184,24.0379674386692,1.0429075776095,1.03141095344923
"ITA","Calcium",NA,NA,NA,NA
"ITA","DHA+EPA",NA,NA,NA,NA
"ITA","Iron",NA,NA,NA,NA
"ITA","Vitamin A",NA,NA,NA,NA
"ITA","Vitamin B12",NA,NA,NA,NA
"ITA","Zinc",NA,NA,NA,NA
"JAM","Calcium",2888096.49125707,2545971.18620571,1.13437909545286,342125.305051364
"JAM","DHA+EPA",10850.573699387,9565.2094990831,1.13437909545286,1285.36420030388
"JAM","Iron",26765.834767463,23595.141055361,1.13437909545286,3170.69371210202
"JAM","Vitamin A",1160867.02090773,1023350.15301415,1.13437909545286,137516.867893586
"JAM","Vitamin B12",35731.6825197726,31498.8901532146,1.13437909545286,4232.79236655794
"JAM","Zinc",7055.49368422318,6219.69649520607,1.13437909545286,835.797189017107
"JOR","Calcium",2658.27941385401,2352.74216970295,1.12986431241194,305.537244151053
"JOR","DHA+EPA",2.22727981192287,1.97128078783926,1.12986431241194,0.255999024083615
"JOR","Iron",39.1899982138573,34.6855793065963,1.12986431241194,4.50441890726098
"JOR","Vitamin A",147.671782763511,130.698687569194,1.12986431241194,16.9730951943165
"JOR","Vitamin B12",36.9595493561211,32.7114937166419,1.12986431241194,4.24805563947924
"JOR","Zinc",6.26290448902158,5.54305894984155,1.12986431241194,0.719845539180031
"JPN","Calcium",220292.363613871,191820.485336339,1.14842981044287,28471.8782775324
"JPN","DHA+EPA",3033.23711444784,2641.20374346442,1.14842981044287,392.033370983427
"JPN","Iron",4505.84955206732,3923.48710482334,1.14842981044287,582.362447243979
"JPN","Vitamin A",104898.578302301,91340.8702460001,1.14842981044287,13557.7080563007
