iso3c,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
PRI,47886.05567,108043.8288,185667.7886,300715.0053,421189.1618,570087.0086,741693.7994,892668.9636,1014727.463,1127872.5,1245982.415,1362692.85,1494347.286,1618756.494,1724795.536,1800606.777,1902194.651,2008744.902,2106322.956,2234486.208,2360836.229,2479932.722,2596261.321,2704737.624,2815326.105,2933281.604,3038758.877,3115929.513,3170347.726,3222783.025
VIR,73229.739,95052.67325,103285.4583,107465.6069,108618.3077,109501.8194,110919.9882,112838.5785,115628.3691,118859.5805,122406.3325,125176.0285,127636.763,129320.743,130733.6212,132323.3434,133055.2265,133552.0039,133820.5928,133979.5775,134018.1712,134045.6667,134137.4847,134720.532,135657.3976,135757.0448,135849.7775,136376.9236,138062.9848,138737.7606
DMA,2059.584229,4259.294809,6861.275538,10047.87019,13112.26414,17018.79435,22382.77519,29420.51837,35266.8988,38778.05709,42349.63038,45937.09601,48674.55795,50634.60486,53285.63295,56369.2817,58957.64799,61283.77962,63463.01419,65822.07719,66933.4813,68075.59951,68903.09241,69669.20204,70279.18448,70831.80101,71198.04656,71339.11698,71411.13374,72164.01458
AIA,965.8933538,2318.017186,5347.108205,10695.11508,13717.69769,14876.9964,14924.66015,14927.99045,14927.99045,14927.99045,14927.99045,14967.3989,16681.53799,23225.41254,29622.7678,41302.10284,50278.00673,62196.88693,71386.60501,82060.11303,88010.60737,90307.66532,91280.84076,91423.15384,91423.15384,91423.21121,91423.21121,91423.21121,91423.21121,91423.21121
TCA,10103.12925,20647.22703,30544.9479,38393.57949,42544.37248,43344.33075,43589.17388,43632.77225,43640.77642,43640.89014,43640.89014,43640.89014,43640.89014,43640.89014,43640.89014,43640.89014,43640.89014,43640.89014,43640.89014,43640.89014,43640.89014,43640.89014,43640.89014,43640.89014,43640.89014,43640.89014,43640.89014,43640.89014,43640.89014,43640.89014
TTO,6122.54042,10103.44105,14094.93148,17879.90146,22218.18511,26367.67741,30848.10624,35624.64255,41208.67693,44207.48963,46913.59204,49302.20969,51108.96387,52088.08192,52918.06454,53680.46693,54434.32835,55116.51345,55786.94899,56363.58229,56848.04479,57462.28819,58234.05141,59190.9464,60129.93093,61485.99789,62447.07761,63357.39659,63894.37084,64235.73218
COK,14466.66348,17198.91923,17846.68888,18004.48993,18004.48993,18004.48993,18004.48993,18004.48993,18004.48993,18004.48993,18004.48993,18004.48993,18004.48993,18004.48993,18004.48993,18004.48993,18004.48993,18004.48993,18004.48993,18004.48993,18004.48993,18004.48993,18004.48993,18004.48993,18004.48993,18004.48993,18004.48993,18004.48993,18004.48993,18004.48993
BLM,7280.666416,10880.12928,11551.72362,11561.1974,11565.32373,11565.32373,11565.32373,11565.32373,11565.32373,11565.32373,11565.3811,11565.3811,11566.30014,11574.47495,12374.83991,15457.37318,19459.49111,30746.3247,41111.92049,52073.63128,61818.83022,73134.16441,81074.56696,83560.01228,84865.70193,85204.16809,86813.24445,87630.11481,88025.31891,88232.5419
MNP,6703.84651,18062.41469,26153.89113,31049.39882,36900.55278,39044.90575,39098.182,39319.87318,39704.96355,40123.18272,40189.30893,40230.02039,40235.37582,40236.47465,40236.73094,40255.38254,40275.66756,40305.6083,40336.63483,40665.89399,41029.03326,42230.11679,42947.48865,43042.98659,43046.539,43048.43704,43048.45034,43048.45034,43048.45034,43048.45034
PNG,192092.1704,242361.6598,287585.2724,333337.2546,371345.1556,406636.3219,434756.5055,454407.2664,468504.7142,483893.7474,500984.3369,518335.3585,535104.6736,551504.5791,566665.7035,583213.2588,598203.9886,615996.1315,632544.3661,650598.0931,669072.1361,686883.7024,705959.4278,721907.6908,736027.6136,749773.214,763628.8984,777358.2817,791228.1384,804929.4528
KIR,27.5337992,27.5337992,27.5337992,27.5337992,27.5337992,27.5337992,27.5337992,27.5337992,27.5337992,27.5337992,27.5337992,27.5337992,27.5337992,27.5337992,27.5337992,27.5337992,27.5337992,27.5337992,27.5337992,27.5337992,27.5337992,27.5337992,27.5337992,27.5337992,27.5337992,27.5337992,27.5337992,27.5337992,27.5337992,27.5337992
SLB,6378.139229,12138.32204,16662.62789,22064.73431,28670.72705,35268.42097,39119.5996,42520.31792,45770.00282,48072.73636,50520.42341,52657.44514,54517.94699,56071.18721,57791.16692,60473.6544,62156.74577,64004.13303,65889.64872,67616.24694,69881.63239,71088.17483,72288.73313,73690.46663,74989.17454,76497.38377,78241.63708,80525.47361,83366.64378,84961.12899
DJI,32508.50929,89348.00923,147583.7442,230716.5038,297086.7687,378192.6186,443979.0069,484637.6563,511934.0859,539863.2912,588159.54,611096.0636,623639.943,634972.8496,646778.7963,659971.704,674242.7774,689028.9131,699403.2436,711023.0419,724475.8058,735041.5034,744148.8309,755338.0802,765478.8261,775888.8367,785555.671,794327.0573,803435.1995,812033.9302
COM,24887.45472,44896.38538,60902.31925,77681.90296,92624.42611,108320.4829,122112.5897,137151.5619,152416.3827,167360.2398,181896.9302,192431.4386,205010.9329,217926.466,230695.5812,244394.1469,257112.1999,269784.7677,282203.619,297186.8126,310333.8985,323151.2612,333532.9269,342321.5423,351116.817,358755.5855,365323.4692,372584.8947,378989.5808,385291.949
ARE,29003.70094,32735.4509,35829.43146,38694.68764,41442.59021,44169.33648,46872.65608,49527.85874,52326.51636,55640.77212,59089.87425,62711.63468,66446.3695,70701.17105,75082.48061,79965.29296,85618.02523,92218.75764,99501.40783,107437.1906,115769.6059,125087.7218,135874.0471,148578.6979,160580.0129,174916.3285,187286.5382,198564.8907,208870.5871,218678.4901
KWT,355.6295052,421.2719846,532.1666456,619.7698111,728.0388045,852.8271894,1053.308367,1338.505832,1438.122319,1438.122319,1438.122319,1439.018303,1448.912596,1448.912596,1448.912596,1448.912596,1448.912596,1448.912596,1448.912596,1448.912596,1451.915251,1572.756992,1794.899699,2223.769688,2708.367176,3263.815217,4174.091094,8887.471842,29079.37581,60233.52781
NIU,180.2310435,325.378289,535.5837506,783.0132376,1100.500889,1254.280627,1306.842076,1347.853868,1374.940131,1386.748793,1389.781675,1389.781675,1389.781675,1389.781675,1389.781675,1389.781675,1389.781675,1389.781675,1389.781675,1389.781675,1389.781675,1389.781675,1389.781675,1389.781675,1389.781675,1389.781675,1389.781675,1389.781675,1389.781675,1389.781675
USA,71307.11131,90506.22615,131168.7575,185636.9238,245022.6309,302210.0826,381535.8162,472663.0518,603166.6112,731054.6257,895619.2154,1088585.308,1295149.02,1509537.415,1739409.76,1970538.941,2163337.906,2383129.021,2586717.728,2797452.325,2980142.762,3154955.752,3339988.15,3526128.136,3693625.04,3863518.07,4010009.139,4163614.673,4303142.809,4472997.67
UMI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GUM,29344.84604,65316.29508,82951.24317,110365.6571,137744.3425,147838.1596,157885.1463,164345.8112,164797.4989,164797.4989,164797.4989,164797.4989,164797.4989,164797.4989,164797.4989,164797.4989,164797.4989,164797.4989,164797.4989,164797.4989,164797.4989,164797.4989,164797.4989,164797.4989,164797.4989,164797.4989,164797.4989,164797.4989,164797.4989,164797.4989
